Date,ETH-USD
2016-01-30,2.4450600147247314
2016-01-31,2.306040048599243
2016-02-01,2.2116899490356445
2016-02-02,2.4396400451660156
2016-02-03,2.5286900997161865
2016-02-04,2.5780398845672607
2016-02-05,2.538990020751953
2016-02-06,2.5344600677490234
2016-02-07,2.9643399715423584
2016-02-08,3.1797900199890137
2016-02-09,4.044640064239502
2016-02-10,4.436260223388672
2016-02-11,6.0131001472473145
2016-02-12,5.546979904174805
2016-02-13,5.38532018661499
2016-02-14,5.239729881286621
2016-02-15,5.2883501052856445
2016-02-16,4.3152899742126465
2016-02-17,3.757240056991577
2016-02-18,4.399129867553711
2016-02-19,4.737889766693115
2016-02-20,4.341330051422119
2016-02-21,4.653619766235352
2016-02-22,5.616499900817871
2016-02-23,5.586209774017334
2016-02-24,6.2364702224731445
